address,avgspeed,carport,lat,lon,pk,totalvol,time
敦化北路102號前中央分隔島,34,2,25.05333333,121.5488889,VMCN800,2,2015-11-20 02:46:22.103
中正橋上匝道入口處,32,1,25.023076,121.516247,V4271C0,4,2015-11-20 02:46:22.103
堤頂大道二段285號前,29,2,25.078416,121.565796,VSPRA60,2,2015-11-20 02:46:22.103
內湖路(基湖路-港墘路,18,2,25.080648,121.573669,VT8SZ60,5,2015-11-20 02:46:22.103
和平西路二段90號對面人行道上 ,45,4,25.029585,121.511003,VGMFQ20,14,2015-11-20 02:46:22.103
桂林路49號前,46,1,25.038104,121.504102,VIME520,4,2015-11-20 02:46:22.103
忠孝西路27號前,44,2,25.048653,121.508287,VKXET60,12,2015-11-20 02:46:22.103
新生南路三段90號前,56,6,25.018104,121.533268,VF9KB00,40,2015-11-20 02:46:22.103
艋舺大道389號前槽化島上,37,3,25.031159,121.494075,VGBBW60,13,2015-11-20 02:46:22.103
1+360北側車道(二號隧道內,36,4,25.079295,121.617416,VSM4D61,2,2015-11-20 02:46:22.103
1+760北側車道(二號隧道內,32,4,25.079667,121.621314,VSM4D60,3,2015-11-20 02:46:22.103
成功路(文德路-金龍路,20,2,25.083065,121.593715,VTVXH20,4,2015-11-20 02:46:22.103
向陽路-南港車站間  路段間市民大道向陽路東側,16,5,25.05193889,121.5971778,VLXZ720,1,2015-11-20 02:46:22.103
富民街入口匝道起點,23,1,25.016518,121.496077,V4231C0,5,2015-11-20 02:46:22.103
民權出口匝道,61,1,25.060495,121.537278,V10D2A0,15,2015-11-20 02:46:22.103
林森北路7之2號前,16,2,25.045719,121.523606,VKII640,1,2015-11-20 02:46:22.103
市民大道三段232號對面橋下,41,2,25.044411,121.541072,VK8LT20,13,2015-11-20 02:46:22.103
承德路五段監理處前,33,6,25.095371,121.513963,VVVGB40,12,2015-11-20 02:46:22.103
民生東路三段65巷口,49,6,25.058077,121.541727,VMZLI20,17,2015-11-20 02:46:22.103
忠孝東路五段394號前,17,2,25.040764,121.574631,VJCTT20,8,2015-11-20 02:46:22.103
敦化北路236號前槽化島上,17,3,25.059629,121.549366,VNUNJ00,3,2015-11-20 02:46:22.103
松信路-虎林街北側市民大道松山車站機車地下停車場出入口北側,50,2,25.04946944,121.5741667,VL7SU60,2,2015-11-20 02:46:22.103
羅斯福路五段206-3號前,29,6,25.003018,121.538464,VB9L800,17,2015-11-20 02:46:22.103
辛亥隧道中段,57,2,25.01190278,121.5551056,VBWQ840,15,2015-11-20 02:46:22.103
復興南路二段345號前,37,4,25.023458,121.543299,VEWM500,10,2015-11-20 02:46:22.103
研究院路2段胡適國小停車場前,31,2,25.042825,121.616886,VJT4T00,2,2015-11-20 02:46:22.103
經貿舊宗,77,2,25.059021,121.605887,V6330G4,7,2015-11-20 02:46:22.103
經貿舊宗,73,2,25.060188,121.60958,V6330G3,9,2015-11-20 02:46:22.103
經貿舊宗,66,2,25.058393,121.598074,V6330G6,8,2015-11-20 02:46:22.103
吉林路51巷口左側人行道上,44,2,25.053741,121.529973,VLRJE00,20,2015-11-20 02:46:22.103
西園路與華江橋上匝道,47,3,25.036852,121.492492,V5050A0,13,2015-11-20 02:46:22.103
信義路一段5之1號前,31,4,25.036842,121.521963,VIBHV20,2,2015-11-20 02:46:22.103
經貿舊宗,77,2,25.058576,121.602108,V6330G5,8,2015-11-20 02:46:22.103
經貿舊宗,36,3,25.063563,121.614463,V6330G0,12,2015-11-20 02:46:22.103
長安東路一段18號前,42,2,25.049411,121.52386,VL6IA60,51,2015-11-20 02:46:22.103
經貿舊宗,70,2,25.061131,121.610833,V6330G2,8,2015-11-20 02:46:22.103
長春路251號前,32,2,25.054662,121.539859,VMDL800,25,2015-11-20 02:46:22.103
離匝道端下游約75公尺,58,1,25.039185,121.496634,V52H2E0,28,2015-11-20 02:46:22.103
松江路518號,35,6,25.066361,121.532882,VQEJY00,18,2015-11-20 02:46:22.103
堤頂大道二段251號前,78,2,25.078168,121.56642,VS7SN60,7,2015-11-20 02:46:22.103
安和路二段181巷口,59,2,25.027526,121.549272,VFNNH40,13,2015-11-20 02:46:22.103
離新生北路二段62巷上游約5公尺,66,1,25.056583,121.527444,VN2B0E0,3,2015-11-20 02:46:22.103
