"noindex","log1","lat1","log2","lat2","log3","lat3","log4","lat4","row","col","centerlog","centerlat","area"
59,121.507,25.14,121.512,25.14,121.507,25.145,121.512,25.145,37,11,121.5095,25.1425,"beitou"
60,121.512,25.14,121.517,25.14,121.512,25.145,121.517,25.145,37,12,121.5145,25.1425,"beitou"
61,121.517,25.14,121.522,25.14,121.517,25.145,121.522,25.145,37,13,121.5195,25.1425,"beitou"
62,121.522,25.14,121.527,25.14,121.522,25.145,121.527,25.145,37,14,121.5245,25.1425,"beitou"
63,121.527,25.14,121.532,25.14,121.527,25.145,121.532,25.145,37,15,121.5295,25.1425,"beitou"
64,121.532,25.14,121.537,25.14,121.532,25.145,121.537,25.145,37,16,121.5345,25.1425,"beitou"
65,121.477,25.145,121.482,25.145,121.477,25.15,121.482,25.15,38,5,121.4795,25.1475,"beitou"
66,121.482,25.145,121.487,25.145,121.482,25.15,121.487,25.15,38,6,121.4845,25.1475,"beitou"
67,121.487,25.145,121.492,25.145,121.487,25.15,121.492,25.15,38,7,121.4895,25.1475,"beitou"
68,121.492,25.145,121.497,25.145,121.492,25.15,121.497,25.15,38,8,121.4945,25.1475,"beitou"
69,121.497,25.145,121.502,25.145,121.497,25.15,121.502,25.15,38,9,121.4995,25.1475,"beitou"
70,121.502,25.145,121.507,25.145,121.502,25.15,121.507,25.15,38,10,121.5045,25.1475,"beitou"
71,121.507,25.145,121.512,25.145,121.507,25.15,121.512,25.15,38,11,121.5095,25.1475,"beitou"
72,121.512,25.145,121.517,25.145,121.512,25.15,121.517,25.15,38,12,121.5145,25.1475,"beitou"
73,121.517,25.145,121.522,25.145,121.517,25.15,121.522,25.15,38,13,121.5195,25.1475,"beitou"
74,121.522,25.145,121.527,25.145,121.522,25.15,121.527,25.15,38,14,121.5245,25.1475,"beitou"
75,121.527,25.145,121.532,25.145,121.527,25.15,121.532,25.15,38,15,121.5295,25.1475,"beitou"
76,121.532,25.145,121.537,25.145,121.532,25.15,121.537,25.15,38,16,121.5345,25.1475,"beitou"
77,121.537,25.145,121.542,25.145,121.537,25.15,121.542,25.15,38,17,121.5395,25.1475,"beitou"
78,121.542,25.145,121.547,25.145,121.542,25.15,121.547,25.15,38,18,121.5445,25.1475,"beitou"
79,121.482,25.15,121.487,25.15,121.482,25.155,121.487,25.155,39,6,121.4845,25.1525,"beitou"
80,121.487,25.15,121.492,25.15,121.487,25.155,121.492,25.155,39,7,121.4895,25.1525,"beitou"
81,121.492,25.15,121.497,25.15,121.492,25.155,121.497,25.155,39,8,121.4945,25.1525,"beitou"
82,121.497,25.15,121.502,25.15,121.497,25.155,121.502,25.155,39,9,121.4995,25.1525,"beitou"
83,121.502,25.15,121.507,25.15,121.502,25.155,121.507,25.155,39,10,121.5045,25.1525,"beitou"
84,121.507,25.15,121.512,25.15,121.507,25.155,121.512,25.155,39,11,121.5095,25.1525,"beitou"
85,121.512,25.15,121.517,25.15,121.512,25.155,121.517,25.155,39,12,121.5145,25.1525,"beitou"
86,121.517,25.15,121.522,25.15,121.517,25.155,121.522,25.155,39,13,121.5195,25.1525,"beitou"
87,121.522,25.15,121.527,25.15,121.522,25.155,121.527,25.155,39,14,121.5245,25.1525,"beitou"
88,121.527,25.15,121.532,25.15,121.527,25.155,121.532,25.155,39,15,121.5295,25.1525,"beitou"
89,121.532,25.15,121.537,25.15,121.532,25.155,121.537,25.155,39,16,121.5345,25.1525,"beitou"
90,121.537,25.15,121.542,25.15,121.537,25.155,121.542,25.155,39,17,121.5395,25.1525,"beitou"
91,121.542,25.15,121.547,25.15,121.542,25.155,121.547,25.155,39,18,121.5445,25.1525,"beitou"
92,121.487,25.155,121.492,25.155,121.487,25.16,121.492,25.16,40,7,121.4895,25.1575,"beitou"
93,121.492,25.155,121.497,25.155,121.492,25.16,121.497,25.16,40,8,121.4945,25.1575,"beitou"
94,121.497,25.155,121.502,25.155,121.497,25.16,121.502,25.16,40,9,121.4995,25.1575,"beitou"
95,121.502,25.155,121.507,25.155,121.502,25.16,121.507,25.16,40,10,121.5045,25.1575,"beitou"
96,121.507,25.155,121.512,25.155,121.507,25.16,121.512,25.16,40,11,121.5095,25.1575,"beitou"
97,121.512,25.155,121.517,25.155,121.512,25.16,121.517,25.16,40,12,121.5145,25.1575,"beitou"
98,121.517,25.155,121.522,25.155,121.517,25.16,121.522,25.16,40,13,121.5195,25.1575,"beitou"
99,121.522,25.155,121.527,25.155,121.522,25.16,121.527,25.16,40,14,121.5245,25.1575,"beitou"
100,121.527,25.155,121.532,25.155,121.527,25.16,121.532,25.16,40,15,121.5295,25.1575,"beitou"
101,121.532,25.155,121.537,25.155,121.532,25.16,121.537,25.16,40,16,121.5345,25.1575,"beitou"
102,121.537,25.155,121.542,25.155,121.537,25.16,121.542,25.16,40,17,121.5395,25.1575,"beitou"
103,121.542,25.155,121.547,25.155,121.542,25.16,121.547,25.16,40,18,121.5445,25.1575,"beitou"
104,121.547,25.155,121.552,25.155,121.547,25.16,121.552,25.16,40,19,121.5495,25.1575,"beitou"
105,121.492,25.16,121.497,25.16,121.492,25.165,121.497,25.165,41,8,121.4945,25.1625,"beitou"
106,121.497,25.16,121.502,25.16,121.497,25.165,121.502,25.165,41,9,121.4995,25.1625,"beitou"
107,121.502,25.16,121.507,25.16,121.502,25.165,121.507,25.165,41,10,121.5045,25.1625,"beitou"
108,121.507,25.16,121.512,25.16,121.507,25.165,121.512,25.165,41,11,121.5095,25.1625,"beitou"
109,121.512,25.16,121.517,25.16,121.512,25.165,121.517,25.165,41,12,121.5145,25.1625,"beitou"
110,121.517,25.16,121.522,25.16,121.517,25.165,121.522,25.165,41,13,121.5195,25.1625,"beitou"
111,121.522,25.16,121.527,25.16,121.522,25.165,121.527,25.165,41,14,121.5245,25.1625,"beitou"
112,121.527,25.16,121.532,25.16,121.527,25.165,121.532,25.165,41,15,121.5295,25.1625,"beitou"
113,121.532,25.16,121.537,25.16,121.532,25.165,121.537,25.165,41,16,121.5345,25.1625,"beitou"
114,121.537,25.16,121.542,25.16,121.537,25.165,121.542,25.165,41,17,121.5395,25.1625,"beitou"
115,121.542,25.16,121.547,25.16,121.542,25.165,121.547,25.165,41,18,121.5445,25.1625,"beitou"
116,121.547,25.16,121.552,25.16,121.547,25.165,121.552,25.165,41,19,121.5495,25.1625,"beitou"
117,121.497,25.165,121.502,25.165,121.497,25.17,121.502,25.17,42,9,121.4995,25.1675,"beitou"
118,121.502,25.165,121.507,25.165,121.502,25.17,121.507,25.17,42,10,121.5045,25.1675,"beitou"
119,121.507,25.165,121.512,25.165,121.507,25.17,121.512,25.17,42,11,121.5095,25.1675,"beitou"
120,121.512,25.165,121.517,25.165,121.512,25.17,121.517,25.17,42,12,121.5145,25.1675,"beitou"
121,121.517,25.165,121.522,25.165,121.517,25.17,121.522,25.17,42,13,121.5195,25.1675,"beitou"
122,121.522,25.165,121.527,25.165,121.522,25.17,121.527,25.17,42,14,121.5245,25.1675,"beitou"
123,121.527,25.165,121.532,25.165,121.527,25.17,121.532,25.17,42,15,121.5295,25.1675,"beitou"
124,121.532,25.165,121.537,25.165,121.532,25.17,121.537,25.17,42,16,121.5345,25.1675,"beitou"
125,121.537,25.165,121.542,25.165,121.537,25.17,121.542,25.17,42,17,121.5395,25.1675,"beitou"
126,121.542,25.165,121.547,25.165,121.542,25.17,121.547,25.17,42,18,121.5445,25.1675,"beitou"
127,121.547,25.165,121.552,25.165,121.547,25.17,121.552,25.17,42,19,121.5495,25.1675,"beitou"
128,121.552,25.165,121.557,25.165,121.552,25.17,121.557,25.17,42,20,121.5545,25.1675,"beitou"
129,121.497,25.17,121.502,25.17,121.497,25.175,121.502,25.175,43,9,121.4995,25.1725,"beitou"
130,121.502,25.17,121.507,25.17,121.502,25.175,121.507,25.175,43,10,121.5045,25.1725,"beitou"
131,121.507,25.17,121.512,25.17,121.507,25.175,121.512,25.175,43,11,121.5095,25.1725,"beitou"
132,121.512,25.17,121.517,25.17,121.512,25.175,121.517,25.175,43,12,121.5145,25.1725,"beitou"
133,121.517,25.17,121.522,25.17,121.517,25.175,121.522,25.175,43,13,121.5195,25.1725,"beitou"
134,121.522,25.17,121.527,25.17,121.522,25.175,121.527,25.175,43,14,121.5245,25.1725,"beitou"
135,121.527,25.17,121.532,25.17,121.527,25.175,121.532,25.175,43,15,121.5295,25.1725,"beitou"
136,121.532,25.17,121.537,25.17,121.532,25.175,121.537,25.175,43,16,121.5345,25.1725,"beitou"
137,121.537,25.17,121.542,25.17,121.537,25.175,121.542,25.175,43,17,121.5395,25.1725,"beitou"
138,121.542,25.17,121.547,25.17,121.542,25.175,121.547,25.175,43,18,121.5445,25.1725,"beitou"
139,121.547,25.17,121.552,25.17,121.547,25.175,121.552,25.175,43,19,121.5495,25.1725,"beitou"
140,121.552,25.17,121.557,25.17,121.552,25.175,121.557,25.175,43,20,121.5545,25.1725,"beitou"
141,121.517,25.175,121.522,25.175,121.517,25.18,121.522,25.18,44,13,121.5195,25.1775,"beitou"
142,121.522,25.175,121.527,25.175,121.522,25.18,121.527,25.18,44,14,121.5245,25.1775,"beitou"
143,121.527,25.175,121.532,25.175,121.527,25.18,121.532,25.18,44,15,121.5295,25.1775,"beitou"
144,121.532,25.175,121.537,25.175,121.532,25.18,121.537,25.18,44,16,121.5345,25.1775,"beitou"
145,121.537,25.175,121.542,25.175,121.537,25.18,121.542,25.18,44,17,121.5395,25.1775,"beitou"
146,121.542,25.175,121.547,25.175,121.542,25.18,121.547,25.18,44,18,121.5445,25.1775,"beitou"
147,121.547,25.175,121.552,25.175,121.547,25.18,121.552,25.18,44,19,121.5495,25.1775,"beitou"
148,121.552,25.175,121.557,25.175,121.552,25.18,121.557,25.18,44,20,121.5545,25.1775,"beitou"
149,121.522,25.18,121.527,25.18,121.522,25.185,121.527,25.185,45,14,121.5245,25.1825,"beitou"
