"name","word","count"
"滷味","滷味","18"
"打造","打造","18"
"成交","成交","18"
"立委","立委","18"
"個月","個月","18"
"人氣","人氣","18"
"新鮮","新鮮","18"
"總價","總價","18"
"圖書館","圖書館","18"
"喝咖啡","喝咖啡","18"
"獨家","獨家","18"
"服務人員","服務人員","18"
"濃郁","濃郁","18"
"延伸閱讀","延伸閱讀","18"
"起訴","起訴","18"
"相當","相當","18"
"報名","報名","18"
"也是","也是","18"
"應用程式","應用程式","18"
"檢察官","檢察官","18"
"現在","現在","18"
"客人","客人","18"
"食材","食材","18"
"醬汁","醬汁","18"
"市中心","市中心","18"
"城市","城市","17"
"吳興街","吳興街","17"
"報案","報案","17"
"擁有","擁有","17"
"半份","半份","17"
"點餐","點餐","17"
"只是","只是","17"
"攤商","攤商","17"
"小雅","小雅","17"
"醬油","醬油","17"
"未來","未來","17"
"吃到","吃到","17"
"世貿新城","世貿新城","17"
"剛好","剛好","17"
"謝和弦","謝和弦","17"
"鄭男","鄭男","17"
"文化局","文化局","17"
"鬆餅","鬆餅","17"
"王品","王品","17"
"店長","店長","17"
"聖誕","聖誕","17"
"整合","整合","17"
"周年慶","周年慶","17"
"舉辦","舉辦","17"
"建案","建案","17"
"課程","課程","17"
"黃婦","黃婦","16"
"議員","議員","16"
"新北","新北","16"
"文山區","文山區","16"
"觀光","觀光","16"
"包廂","包廂","16"
"粗麵","粗麵","16"
"偏鄉","偏鄉","16"
"披薩","披薩","16"
"頂級","頂級","16"
"吃的","吃的","16"
"海底撈的","海底撈的","16"
"旅客","旅客","16"
"停車場","停車場","16"
"粉絲","粉絲","16"
"老婦","老婦","16"
"門口","門口","16"
"報導","報導","16"
"李男","李男","16"
"王大陸","王大陸","16"
"遊樂園","遊樂園","16"
"在台北","在台北","16"
"位於","位於","16"
"兩人","兩人","16"
"吃過","吃過","16"
"問題","問題","16"
"的時候","的時候","16"
"對於","對於","16"
"房間","房間","15"
"斷層","斷層","15"
"鉛管","鉛管","15"
"其中","其中","15"
"被害人","被害人","15"
"飽妹","飽妹","15"
"老公","老公","15"
"大陸","大陸","15"
"交易量","交易量","15"
"金管會","金管會","15"
"平台","平台","15"
"陳男","陳男","15"
"山區","山區","15"
"步道","步道","15"
"知道","知道","15"
"獲利","獲利","15"
"豬排","豬排","15"
"泰國","泰國","15"
"很多","很多","15"
"室友","室友","15"
