"name","word","count"
"淡水","淡水","13"
"舉辦","舉辦","13"
"三峽","三峽","12"
"地主","地主","12"
"表現","表現","12"
"建商","建商","12"
"瀝青","瀝青","12"
"基隆市","基隆市","12"
"路線","路線","12"
"發布","發布","12"
"顯示","顯示","12"
"魏男","魏男","12"
"老闆","老闆","12"
"市議員","市議員","12"
"每天","每天","12"
"銷售","銷售","12"
"樹損","樹損","12"
"有人","有人","12"
"安全","安全","12"
"反傾銷","反傾銷","12"
"成交","成交","12"
"指出","指出","12"
"他們","他們","12"
"加入","加入","12"
"上班","上班","12"
"航班","航班","12"
"產品","產品","12"
"失竊率","失竊率","12"
"養人","養人","11"
"預計","預計","11"
"綠社盟","綠社盟","11"
"河濱公園","河濱公園","11"
"畫畫","畫畫","11"
"簡舒培","簡舒培","11"
"出口","出口","11"
"有水","有水","11"
"人瑞","人瑞","11"
"獨家提供","獨家提供","11"
"警局","警局","11"
"地政局","地政局","11"
"新庄埤","新庄埤","11"
"台壽保","台壽保","11"
"自殺","自殺","11"
"馬姓少年","馬姓少年","11"
"上周","上周","11"
"國產署","國產署","11"
"宜蘭縣","宜蘭縣","11"
"賭場","賭場","11"
"進入","進入","11"
"起訴","起訴","11"
"立委參選人","立委參選人","11"
"遠雄人壽","遠雄人壽","11"
"議會","議會","11"
"內湖區","內湖區","11"
"機場","機場","11"
"興建","興建","11"
"尚志資產","尚志資產","11"
"停車","停車","11"
"支持","支持","11"
"則是","則是","11"
"上午","上午","11"
"五十元","五十元","10"
"有一","有一","10"
"大台北","大台北","10"
"復原","復原","10"
"水庫","水庫","10"
"幼兒","幼兒","10"
"停水","停水","10"
"想參加","想參加","10"
"資料","資料","10"
"英文","英文","10"
"最高","最高","10"
"假日","假日","10"
"打造","打造","10"
"也不","也不","10"
"平均核貸成數","平均核貸成數","10"
"電話","電話","10"
"桌遊","桌遊","10"
"醫生","醫生","10"
"公路","公路","10"
"萬戶","萬戶","10"
"杜鵑","杜鵑","10"
"民政局","民政局","10"
"頻譜","頻譜","10"
"本土","本土","10"
"周男","周男","10"
"國際","國際","10"
"高嘉瑜","高嘉瑜","10"
