"name","word","count"
"鴨肝","鴨肝","22"
"的味道","的味道","22"
"一口","一口","22"
"松山區","松山區","22"
"單價","單價","22"
"其中","其中","21"
"明太子","明太子","21"
"清爽","清爽","21"
"地方","地方","21"
"星巴克","星巴克","21"
"賴士葆","賴士葆","21"
"力量","力量","21"
"座位","座位","21"
"美式","美式","21"
"醫院","醫院","21"
"存款","存款","21"
"價位","價位","21"
"松露","松露","21"
"推出","推出","21"
"飯店","飯店","21"
"市中心","市中心","21"
"產品","產品","21"
"啤酒","啤酒","20"
"本身","本身","20"
"辣的","辣的","20"
"調味","調味","20"
"李慶元","李慶元","20"
"番茄","番茄","20"
"停車","停車","20"
"評價","評價","20"
"友人","友人","20"
"競選","競選","20"
"民黨","民黨","20"
"這是","這是","19"
"薪資","薪資","19"
"魷魚","魷魚","19"
"煎餅","煎餅","19"
"市場","市場","19"
"生活","生活","19"
"成立","成立","19"
"自行車","自行車","19"
"下午茶","下午茶","19"
"洪秀柱","洪秀柱","19"
"小綿羊","小綿羊","19"
"香腸","香腸","19"
"一般","一般","19"
"師大夜市","師大夜市","19"
"調查","調查","19"
"通過","通過","19"
"提名","提名","19"
"韓式料理","韓式料理","19"
"許男","許男","19"
"新北","新北","18"
"可惜","可惜","18"
"建議","建議","18"
"發票","發票","18"
"世界","世界","18"
"古亭站","古亭站","18"
"吃到飽","吃到飽","18"
"韓式烤肉","韓式烤肉","18"
"山區","山區","18"
"時代力量","時代力量","18"
"食我優惠","食我優惠","18"
"招牌","招牌","18"
"小菜","小菜","18"
"第三勢力","第三勢力","18"
"吐司","吐司","18"
"店長","店長","18"
"競選總部","競選總部","18"
"來說","來說","18"
"文化","文化","18"
"像是","像是","18"
"每注可得","每注可得","18"
"也有","也有","18"
"兔子","兔子","17"
"開幕","開幕","17"
"市議員","市議員","17"
"三明治","三明治","17"
"這種","這種","17"
"便當","便當","17"
"大同區","大同區","17"
"一下","一下","17"
"新聞","新聞","17"
"復興南路","復興南路","17"
"吉他教師","吉他教師","17"
"白醬","白醬","17"
"拉拉熊餐廳","拉拉熊餐廳","17"
"主題餐廳","主題餐廳","17"
"立委參選人","立委參選人","17"
"完成","完成","17"
"研究","研究","17"
"交通","交通","17"
"新工處","新工處","17"
"原價","原價","17"
"綠黨社會民主黨聯盟","綠黨社會民主黨聯盟","17"
"之後","之後","17"
"布丁","布丁","17"
"不少","不少","17"
"則是","則是","17"
"修正","修正","17"
"有些","有些","17"
"的時候","的時候","17"
"房客","房客","16"
"整個","整個","16"
"第三","第三","16"
"大甲","大甲","16"
"雞肉","雞肉","16"
"民主","民主","16"
"法式","法式","16"
"周邊","周邊","16"
"防災","防災","16"
"蘿蔔","蘿蔔","16"
"指導老師","指導老師","16"
"因此","因此","16"
"陳男","陳男","16"
"個人","個人","16"
"讓我","讓我","16"
"出來","出來","16"
"標售","標售","16"
"北市府","北市府","16"
"垃圾車","垃圾車","16"
"奶油","奶油","16"
"校服","校服","16"
"景觀","景觀","16"
"山藥","山藥","16"
"大食女","大食女","16"
"平均","平均","16"
"然後","然後","16"
"行情","行情","16"
"的感覺","的感覺","16"
"都有","都有","16"
"和風","和風","16"
"失竊率","失竊率","16"
"可是","可是","16"
"火腿","火腿","16"
"消防局","消防局","16"
"有一","有一","16"
"比薩","比薩","16"
"整合","整合","16"
"座談","座談","16"
"還滿","還滿","15"
"開放","開放","15"
"沾醬","沾醬","15"
"實在","實在","15"
"開槍","開槍","15"
"帕尼尼","帕尼尼","15"
"女性參政","女性參政","15"
"德國","德國","15"
"第二","第二","15"
"合作","合作","15"
"上的","上的","15"
"前往","前往","15"
"藝術","藝術","15"
"統計","統計","15"
"音樂","音樂","15"
"建物","建物","15"
"南瓜","南瓜","15"
"主購","主購","15"
"目前","目前","15"
"工會","工會","15"
"燒烤","燒烤","15"
"紅麻辣老鍋","紅麻辣老鍋","15"
"當時","當時","15"
"產業","產業","15"
"算是","算是","15"
"穗科","穗科","15"
"阿布","阿布","15"
"政黨票","政黨票","15"
"營業時間","營業時間","15"
"的一","的一","15"
"市長","市長","15"
"海苔","海苔","15"
"麵條","麵條","15"
"紅豆","紅豆","15"
"烏龍麵","烏龍麵","15"
